BHK,Size,Bathroom,Area Type_Built Area,Area Type_Carpet Area,Area Type_Super Area,City_Bangalore,City_Chennai,City_Delhi,City_Hyderabad,City_Kolkata,City_Mumbai,Furnishing Status_Furnished,Furnishing Status_Semi-Furnished,Furnishing Status_Unfurnished,Tenant Preferred_Bachelors,Tenant Preferred_Bachelors/Family,Tenant Preferred_Family,Point of Contact_Contact Agent,Point of Contact_Contact Builder,Point of Contact_Contact Owner
3,225,3,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,1200,2,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
3,2400,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,775,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3,1100,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3,1000,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,2600,4,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
2,674,2,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1
4,3133,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
3,1200,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
5,4050,4,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2,1200,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,499,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
2,392,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3,1400,3,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2,500,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,750,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,800,2,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
2,600,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2,1000,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2,1250,3,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
1,600,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,240,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2,724,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,774,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
2,600,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,800,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,1768,3,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0
4,2000,4,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0
2,803,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,650,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
1,250,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1200,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,435,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
3,999,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0
3,2000,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1600,3,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2,750,2,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
2,800,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
1,800,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,400,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
1,640,2,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
2,450,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
3,800,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
1,650,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,2400,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0
1,300,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
2,800,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
3,2405,4,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
1,800,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
3,2120,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
2,800,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2,900,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,380,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1,500,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,100,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,950,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,1140,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
1,490,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
1,220,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,805,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1450,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
2,600,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2,800,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,432,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
2,914,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,850,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,250,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0
3,200,3,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
3,1800,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,800,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
2,894,2,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
2,800,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
6,3400,7,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
2,900,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
2,800,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,60,2,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,2064,4,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
2,850,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,1100,2,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
3,1500,3,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0
3,1337,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
4,2500,4,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
3,1800,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
1,550,2,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0
3,1800,3,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0
4,2880,5,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0
2,900,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
2,700,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1450,2,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
2,1000,2,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
5,200,5,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0
1,450,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0
3,1530,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,850,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
1,400,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
2,700,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,1000,2,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
2,700,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,1000,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
3,80,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1,140,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
3,2110,3,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
2,1000,3,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
3,1500,3,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
3,1600,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
2,800,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
2,1000,2,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
1,550,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2,900,2,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
2,450,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0
1,450,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
2,800,2,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,350,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1100,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,575,2,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
3,1350,2,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
2,1040,2,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
2,900,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
1,700,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
1,650,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,900,2,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0
